156347,12,

7th
MATH,86,86,87,84,84,84,
ENG,90,85,90,87,88,90,
SCI,90,91,91,89,90,87,
SOC,81,83,84,85,86,86,
PE,96,97,93,93,93,93,
ART,80,82,78,80,80,78,

8th
MATH,84,86,83,83,83,86,
ENG,88,87,86,88,88,84,
SCI,91,93,92,91,91,91,
SOC,86,82,83,84,84,83,
PE,94,95,95,95,93,96,
ART,82,82,81,81,79,77,

9th
MATH,88,85,86,85,86,87,
ENG,88,85,85,88,86,88,
SCI,94,96,95,96,96,96,
SOC,82,85,82,83,84,84,
PE,95,98,93,93,95,97,
ART,78,79,76,80,80,81,

10th
MATH,87,84,88,84,83,87,
ENG,91,90,89,87,88,91,
SCI,95,93,93,95,97,96,
SOC,84,85,86,85,84,82,
PE,95,94,98,93,94,93,
ART,76,76,80,79,77,79,

11th
MATH,82,85,84,84,83,83,
ENG,90,92,92,93,91,92,
SCI,99,96,98,100,97,100,
SOC,82,82,85,86,83,82,
PE,94,97,94,96,93,94,
ART,76,81,81,78,77,77,
