815824,11,

7th
MATH,80,82,79,78,81,79,
ENG,94,94,92,96,96,95,
SCI,72,69,73,71,71,71,
SOC,72,75,72,72,71,75,
PE,93,95,94,96,96,93,
ART,96,95,92,96,92,92,

8th
MATH,79,80,78,81,79,80,
ENG,95,96,93,93,96,94,
SCI,71,70,68,67,66,71,
SOC,72,72,73,74,72,74,
PE,94,97,95,93,98,97,
ART,90,94,95,95,90,95,

9th
MATH,79,82,81,79,82,82,
ENG,91,92,92,94,90,89,
SCI,66,68,70,69,66,66,
SOC,75,71,74,75,73,70,
PE,94,93,94,98,96,94,
ART,91,91,93,93,89,89,

10th
MATH,82,81,81,80,79,77,
ENG,92,95,91,91,92,94,
SCI,65,65,65,66,66,67,
SOC,73,74,71,71,74,75,
PE,93,96,95,93,98,95,
ART,91,94,92,92,94,91,
