476679,11,

7th
MATH,89,91,91,93,90,91,
ENG,71,69,70,69,68,67,
SCI,93,94,95,96,91,96,
SOC,80,82,79,84,84,82,
PE,96,98,96,96,98,96,
ART,81,81,84,82,85,83,

8th
MATH,94,94,92,91,94,94,
ENG,74,71,72,75,70,74,
SCI,91,90,93,92,95,93,
SOC,79,77,76,80,78,81,
PE,96,98,95,97,98,95,
ART,88,87,83,86,87,88,

9th
MATH,92,91,91,91,89,90,
ENG,70,70,66,66,69,67,
SCI,92,91,94,89,89,92,
SOC,79,80,83,79,81,83,
PE,98,97,94,98,99,97,
ART,86,87,87,85,90,86,

10th
MATH,89,89,89,91,88,91,
ENG,74,71,73,72,75,70,
SCI,95,91,92,92,95,94,
SOC,80,81,81,82,81,82,
PE,96,97,98,96,96,97,
ART,86,87,87,86,88,87,
