623617,11,

7th
MATH,79,75,79,78,79,76,
ENG,95,100,98,96,99,96,
SCI,76,79,77,78,75,77,
SOC,96,95,99,97,94,94,
PE,99,97,97,94,98,98,
ART,98,95,98,95,98,93,

8th
MATH,76,72,75,73,73,76,
ENG,99,100,96,99,97,99,
SCI,78,82,78,83,79,80,
SOC,95,96,96,96,99,94,
PE,95,98,99,94,95,95,
ART,98,93,96,98,97,96,

9th
MATH,71,70,70,75,70,75,
ENG,98,98,95,95,99,95,
SCI,84,86,86,82,83,86,
SOC,95,96,98,97,96,97,
PE,99,96,98,99,99,99,
ART,94,94,98,93,98,97,

10th
MATH,73,72,74,73,71,71,
ENG,98,99,98,100,99,99,
SCI,84,86,82,83,82,81,
SOC,94,95,96,94,99,95,
PE,94,95,99,94,98,97,
ART,96,98,96,97,95,98,
