318035,12,

7th
MATH,91,90,91,95,94,92,
ENG,94,94,98,98,97,95,
SCI,77,76,75,77,80,75,
SOC,90,91,90,94,94,91,
PE,98,99,96,99,94,98,
ART,84,83,83,82,85,84,

8th
MATH,92,93,93,91,90,89,
ENG,99,97,100,96,99,97,
SCI,79,80,75,77,75,75,
SOC,93,96,96,91,95,92,
PE,93,95,94,94,98,97,
ART,85,86,88,86,86,83,

9th
MATH,89,92,89,90,88,89,
ENG,96,99,94,95,94,96,
SCI,80,80,76,80,79,80,
SOC,94,94,93,93,97,93,
PE,96,92,93,95,95,97,
ART,90,87,86,89,89,88,

10th
MATH,88,92,87,87,91,90,
ENG,97,99,98,95,97,97,
SCI,79,75,80,76,80,77,
SOC,95,94,90,93,95,95,
PE,91,95,92,96,91,96,
ART,87,88,90,90,87,89,

11th
MATH,87,90,88,90,89,89,
ENG,96,99,95,98,94,98,
SCI,76,78,76,80,78,76,
SOC,93,95,96,92,92,94,
PE,95,95,97,93,97,92,
ART,86,91,89,91,89,87,
