857739,12,

7th
MATH,72,73,71,75,73,72,
ENG,70,73,73,71,70,74,
SCI,89,87,87,89,84,88,
SOC,72,75,74,72,75,76,
PE,94,97,98,94,98,98,
ART,87,85,83,86,86,87,

8th
MATH,73,70,74,74,72,72,
ENG,71,70,75,74,70,71,
SCI,86,86,83,85,87,88,
SOC,72,72,72,76,73,76,
PE,95,93,95,96,95,93,
ART,84,83,84,83,87,84,

9th
MATH,73,72,74,73,71,72,
ENG,74,74,70,70,73,71,
SCI,84,84,85,89,87,87,
SOC,77,76,76,73,75,74,
PE,98,94,94,93,98,95,
ART,87,84,84,85,86,85,

10th
MATH,77,77,74,77,75,73,
ENG,77,72,74,77,76,74,
SCI,87,87,87,84,87,86,
SOC,72,76,74,73,72,76,
PE,96,96,93,96,98,98,
ART,87,83,86,82,86,82,

11th
MATH,75,73,74,74,75,74,
ENG,75,75,71,71,76,72,
SCI,90,86,89,90,87,90,
SOC,73,75,75,74,74,72,
PE,98,96,97,94,95,93,
ART,82,85,82,86,84,84,
