473011,12,

7th
MATH,72,69,69,69,69,70,
ENG,92,91,95,94,93,93,
SCI,89,87,84,84,84,85,
SOC,82,78,78,79,82,81,
PE,99,100,95,97,98,99,
ART,92,89,89,93,92,88,

8th
MATH,69,73,70,72,73,70,
ENG,95,95,94,91,96,94,
SCI,89,84,88,85,85,86,
SOC,81,80,83,82,82,82,
PE,99,97,97,98,95,100,
ART,91,92,91,87,87,90,

9th
MATH,68,69,65,70,70,68,
ENG,92,89,89,89,92,94,
SCI,84,87,86,85,86,86,
SOC,78,77,79,82,82,80,
PE,97,96,94,97,95,93,
ART,92,92,87,90,89,89,

10th
MATH,64,67,64,67,68,67,
ENG,87,88,90,88,91,90,
SCI,83,83,85,85,83,83,
SOC,77,80,81,82,82,78,
PE,97,96,94,95,93,95,
ART,86,85,89,85,88,85,

11th
MATH,65,66,64,66,65,66,
ENG,88,86,87,90,87,88,
SCI,84,81,81,84,81,81,
SOC,80,80,79,78,79,82,
PE,96,95,93,95,95,92,
ART,91,86,88,87,88,88,
