710784,11,

7th
MATH,81,86,86,86,86,83,
ENG,74,73,73,69,69,70,
SCI,92,90,92,92,92,90,
SOC,83,84,83,83,82,80,
PE,94,95,95,98,98,96,
ART,88,88,88,86,89,84,

8th
MATH,84,80,82,82,85,84,
ENG,71,68,68,71,68,71,
SCI,90,88,91,87,89,88,
SOC,82,80,80,84,80,84,
PE,95,95,95,95,95,97,
ART,84,88,87,84,88,89,

9th
MATH,80,82,81,82,82,79,
ENG,70,67,68,71,66,69,
SCI,87,84,88,84,88,83,
SOC,84,82,84,82,86,83,
PE,96,95,98,95,95,98,
ART,86,86,86,84,86,85,

10th
MATH,82,79,83,83,84,79,
ENG,62,63,62,67,65,62,
SCI,87,87,86,87,85,89,
SOC,84,83,81,81,84,83,
PE,100,97,97,99,98,97,
ART,85,89,88,86,90,89,
