415280,12,

7th
MATH,91,95,92,93,91,90,
ENG,74,71,70,71,73,71,
SCI,82,82,85,84,85,86,
SOC,90,87,89,89,88,91,
PE,95,98,97,98,95,100,
ART,92,92,91,87,90,92,

8th
MATH,93,91,91,91,94,90,
ENG,74,74,74,75,73,77,
SCI,78,81,82,82,81,82,
SOC,85,86,89,85,87,84,
PE,98,95,96,93,97,96,
ART,86,89,85,86,86,86,

9th
MATH,92,96,92,96,92,96,
ENG,72,73,75,73,73,75,
SCI,77,79,76,79,76,75,
SOC,85,83,82,83,83,84,
PE,96,91,95,92,93,93,
ART,85,87,87,85,85,86,

10th
MATH,95,96,91,96,96,96,
ENG,80,77,76,81,81,80,
SCI,75,78,76,76,76,77,
SOC,80,81,78,81,80,78,
PE,96,96,93,91,93,96,
ART,86,84,83,87,86,85,

11th
MATH,89,90,91,93,93,94,
ENG,75,73,76,76,78,78,
SCI,76,74,73,72,76,77,
SOC,79,77,82,77,80,81,
PE,90,89,93,91,91,93,
ART,83,83,86,85,83,86,
